participant_id,experiment_trial,trial,product,frame,rt_ms,rating,smart_shopper,check_utilitarian,check_hedonic,check_equal_value,check_understanding,age,gender,loyalty_freq,online_freq,retail_freq,loyalty_programs,self_report_choice,attention_check,loyalty_programs_clean,lp_cashback,lp_punch_card,lp_subscription,lp_points,lp_tiered,lp_other,loyalty_program_count,product_type
102,0,0,Coffee,discount,13923,5,5,5,4,4,5,21-25,Female,5,5,4,Cashback  (e.g: spend €100 --> get €5 back),Discounts,aquamarine,cashback  (e.g: spend €100 --> get €5 back),1,0,0,0,0,0,1,hedonic
102,0,1,Soap,discount,26818,5,5,5,4,4,5,21-25,Female,5,5,4,Cashback  (e.g: spend €100 --> get €5 back),Discounts,aquamarine,cashback  (e.g: spend €100 --> get €5 back),1,0,0,0,0,0,1,utilitarian
102,0,2,Candy Pack,discount,12904,5,5,5,4,4,5,21-25,Female,5,5,4,Cashback  (e.g: spend €100 --> get €5 back),Discounts,aquamarine,cashback  (e.g: spend €100 --> get €5 back),1,0,0,0,0,0,1,hedonic
102,0,3,Salt,discount,10584,5,5,5,4,4,5,21-25,Female,5,5,4,Cashback  (e.g: spend €100 --> get €5 back),Discounts,aquamarine,cashback  (e.g: spend €100 --> get €5 back),1,0,0,0,0,0,1,hedonic
102,0,4,Nutella,discount,17180,5,5,5,4,4,5,21-25,Female,5,5,4,Cashback  (e.g: spend €100 --> get €5 back),Discounts,aquamarine,cashback  (e.g: spend €100 --> get €5 back),1,0,0,0,0,0,1,hedonic
102,0,5,Toilet Paper,discount,5354,5,5,5,4,4,5,21-25,Female,5,5,4,Cashback  (e.g: spend €100 --> get €5 back),Discounts,aquamarine,cashback  (e.g: spend €100 --> get €5 back),1,0,0,0,0,0,1,utilitarian
102,0,6,Juice,discount,5854,5,5,5,4,4,5,21-25,Female,5,5,4,Cashback  (e.g: spend €100 --> get €5 back),Discounts,aquamarine,cashback  (e.g: spend €100 --> get €5 back),1,0,0,0,0,0,1,hedonic
102,0,7,Shampoo,discount,5499,5,5,5,4,4,5,21-25,Female,5,5,4,Cashback  (e.g: spend €100 --> get €5 back),Discounts,aquamarine,cashback  (e.g: spend €100 --> get €5 back),1,0,0,0,0,0,1,utilitarian
102,0,8,Cleanser,discount,11998,5,5,5,4,4,5,21-25,Female,5,5,4,Cashback  (e.g: spend €100 --> get €5 back),Discounts,aquamarine,cashback  (e.g: spend €100 --> get €5 back),1,0,0,0,0,0,1,utilitarian
102,0,9,Bleach,discount,8239,5,5,5,4,4,5,21-25,Female,5,5,4,Cashback  (e.g: spend €100 --> get €5 back),Discounts,aquamarine,cashback  (e.g: spend €100 --> get €5 back),1,0,0,0,0,0,1,utilitarian
101,0,0,Toilet Paper,discount,28047,3,3,4,4,4,4,21-25,Female,3,3,5,Cashback  (e.g: spend €100 --> get €5 back),Points,aquamarine,cashback  (e.g: spend €100 --> get €5 back),1,0,0,0,0,0,1,utilitarian
101,0,1,Bleach,points,9947,4,3,4,4,4,4,21-25,Female,3,3,5,Cashback  (e.g: spend €100 --> get €5 back),Points,aquamarine,cashback  (e.g: spend €100 --> get €5 back),1,0,0,0,0,0,1,utilitarian
101,0,2,Candy Pack,points,11248,4,3,4,4,4,4,21-25,Female,3,3,5,Cashback  (e.g: spend €100 --> get €5 back),Points,aquamarine,cashback  (e.g: spend €100 --> get €5 back),1,0,0,0,0,0,1,hedonic
101,0,3,Juice,points,6889,4,3,4,4,4,4,21-25,Female,3,3,5,Cashback  (e.g: spend €100 --> get €5 back),Points,aquamarine,cashback  (e.g: spend €100 --> get €5 back),1,0,0,0,0,0,1,hedonic
101,0,4,Coffee,discount,8747,4,3,4,4,4,4,21-25,Female,3,3,5,Cashback  (e.g: spend €100 --> get €5 back),Points,aquamarine,cashback  (e.g: spend €100 --> get €5 back),1,0,0,0,0,0,1,hedonic
101,0,5,Salt,points,5654,4,3,4,4,4,4,21-25,Female,3,3,5,Cashback  (e.g: spend €100 --> get €5 back),Points,aquamarine,cashback  (e.g: spend €100 --> get €5 back),1,0,0,0,0,0,1,hedonic
